mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,embedding_type,timestamp
95.68262548446656,2.394320706069875,0.4963528633117676,0.11615772889886686,10,sqrt,1,2,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.768625,0.763375,0.76475,0.75875,0.7635,0.7638,0.0031608938609197163,20,RandomForest,hatebert,20251217_153913
170.72241082191468,2.446582801386679,0.8584175109863281,0.07720815532007787,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.773375,0.769375,0.766875,0.765875,0.769625,0.769025,0.0026057628441591,16,RandomForest,hatebert,20251217_153913
323.4160897731781,3.238167524452178,1.334192943572998,0.18709738006985704,10,sqrt,1,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.776,0.769375,0.7715,0.767,0.76975,0.770725,0.0030024989592004826,13,RandomForest,hatebert,20251217_153913
480.4310879230499,1.5175507283311052,1.8519148349761962,0.2473831166348553,10,sqrt,1,2,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7765,0.768875,0.770875,0.768125,0.77275,0.771425,0.003006867140397138,11,RandomForest,hatebert,20251217_153913
638.314249420166,6.902368833744907,2.235552978515625,0.7474124122934165,10,sqrt,1,2,400,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.77475,0.7685,0.771875,0.7705,0.772875,0.7717,0.0021163057435068583,10,RandomForest,hatebert,20251217_153913
98.4414370059967,3.476622645649175,0.5990211486816406,0.03716002390407705,10,sqrt,1,5,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.772,0.762125,0.764,0.761375,0.768375,0.7655749999999999,0.004028492273791768,18,RandomForest,hatebert,20251217_153913
174.7435350894928,6.4258144983393795,0.7643877983093261,0.2762855160641579,10,sqrt,1,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7745,0.7675,0.771,0.763,0.775,0.7701999999999999,0.00450111097397076,15,RandomForest,hatebert,20251217_153913
335.176744556427,7.731495234974002,1.2980165004730224,0.0852421342064993,10,sqrt,1,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.775875,0.7675,0.76875,0.767625,0.77275,0.7705,0.0032948823954733223,14,RandomForest,hatebert,20251217_153913
481.1177327156067,5.415882547371733,1.841813850402832,0.3728694076668695,10,sqrt,1,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.778125,0.771375,0.77,0.769375,0.77475,0.7727250000000001,0.00327814734263118,9,RandomForest,hatebert,20251217_153913
642.501056098938,6.39527196042717,2.1286086082458495,0.6127650967860078,10,sqrt,1,5,400,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",0.77675,0.771625,0.77175,0.77025,0.7755,0.773175,0.0024969981978367594,8,RandomForest,hatebert,20251217_153913
132.03588423728942,5.178180374059952,0.8656406879425049,0.2463553278109269,20,sqrt,1,2,50,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.764875,0.76675,0.766375,0.758875,0.771625,0.7657,0.004096950085124316,17,RandomForest,hatebert,20251217_153913
239.8140320777893,4.723727528065754,1.0466933250427246,0.16435533838065575,20,sqrt,1,2,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.77225,0.767875,0.773875,0.764125,0.776,0.770825,0.00428266856060563,12,RandomForest,hatebert,20251217_153913
460.9030498981476,2.569752584897264,1.6706905841827393,0.48304621777289053,20,sqrt,1,2,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.779,0.77525,0.78,0.773375,0.779,0.777325,0.002556364606232846,6,RandomForest,hatebert,20251217_153913
680.9043495178223,4.518003695469728,2.928463888168335,0.39077535947893155,20,sqrt,1,2,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.779875,0.777125,0.782,0.77675,0.782,0.7795500000000001,0.00227293862653615,3,RandomForest,hatebert,20251217_153913
867.1529345989227,6.244022905724378,2.1798119068145754,0.5398432310307713,20,sqrt,1,2,400,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.780375,0.781375,0.7815,0.776125,0.7805,0.779975,0.0019770558919767743,2,RandomForest,hatebert,20251217_153913
132.3721230983734,1.8543282505030134,0.6928339004516602,0.22091559120607077,20,sqrt,1,5,50,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.761125,0.764,0.7645,0.762625,0.772125,0.764875,0.003810347753158468,19,RandomForest,hatebert,20251217_153913
240.2023358821869,3.5516270141323383,1.2298529148101807,0.2332250233702695,20,sqrt,1,5,100,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7745,0.775375,0.772875,0.76925,0.78125,0.7746500000000001,0.003909443694440432,7,RandomForest,hatebert,20251217_153913
470.47050485610964,2.7082887565492495,1.9615760326385498,0.3414560355962465,20,sqrt,1,5,200,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.779125,0.779625,0.779,0.77275,0.783625,0.778825,0.00348442965203775,5,RandomForest,hatebert,20251217_153913
499.92035813331603,2.775380913474085,1.2313249588012696,0.21177344598320558,20,sqrt,1,5,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.779875,0.779,0.779125,0.773375,0.783625,0.7790000000000001,0.0032806249404648416,4,RandomForest,hatebert,20251217_153913
459.92656116485597,11.855020526586399,0.4463674545288086,0.43342054754091286,20,sqrt,1,5,400,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",0.78175,0.777,0.77875,0.77775,0.785625,0.7801750000000001,0.0031678068122914143,1,RandomForest,hatebert,20251217_153913
